iter,time,reward,steps,convergence
1,0.0013522990000005564,-558.4,197.12,90.1
2,0.001798324000001017,-460.84,196.52,80.50099
3,0.002567905000001147,-200.96,200.0,71.60099
4,0.005152007999999597,-199.0,200.0,61.73563362810271
5,0.005997440999999881,-204.04,200.0,51.87117450149181
6,0.0063589229999987396,-227.1,188.52,42.00075241967684
7,0.006601095999998918,-209.12,200.0,32.60067055172087
8,0.006797046999999168,-229.9,200.0,23.304571688401076
9,0.006994182999999765,-210.76,200.0,14.404571688401074
10,0.007383714999999569,-213.86,198.78,4.9937316091120465
11,0.009076161999999499,-185.64,193.46,4.389951144887933
12,0.009203766999998919,-201.68,197.66,5.088961144887933
13,0.009695618999998601,-332.14,195.3,4.538327622348663
14,0.009799124999997133,-457.86,171.02,4.817701932951594
15,0.009942531999998394,-107.96,153.9,5.7122610595625
16,0.010387767999999298,-136.04,134.12,5.975551635631403
17,0.010910041000000703,-200.16,157.74,5.747922691116153
18,0.011109548000000302,-6.76,88.94,5.981111554435941
19,0.01128495600000079,-128.98,154.66,5.243553765801525
20,0.011393203000000796,-364.84,197.6,5.282757291675923
21,0.011647228000001064,-131.74,167.52,5.130204453726251
22,0.011784314999999879,-127.58,149.04,4.369272972865312
23,0.011882684999999782,-84.64,119.02,4.611105621461568
24,0.011990142000000148,-163.66,180.68,4.545361056454612
25,0.012088513000000134,-37.2,102.96,3.8510469385378343
26,0.012182537999999354,46.94,42.6,4.318640843397488
27,0.01231172299999983,-29.22,104.8,4.480134755968162
28,0.012379277999999161,-92.52,132.7,4.016659324008097
29,0.012453154999999327,14.44,67.88,4.532916424508488
30,0.012552710999999661,20.54,63.26,4.250205356029293
31,0.012640810000000613,-42.32,59.32,4.448680161999155
32,0.012692168000000947,64.92,24.94,4.428373114436729
33,0.012743131000000574,47.76,40.08,3.9516464131885507
34,0.012896809999999093,62.94,27.0,4.3786279389787985
35,0.012940266999999395,-110.7,143.86,4.676519730284171
36,0.013222735999999458,57.42,31.22,4.168334386180952
37,0.013310439999997925,-149.74,170.5,3.947325178948217
38,0.013395377999998459,60.26,24.68,4.165550904610379
39,0.01343764899999833,59.26,27.72,3.7005738432384376
40,0.013498882999998685,60.82,27.2,3.689724455325213
41,0.014074093999997928,21.3,55.62,3.4603209694276793
42,0.014196562999996942,56.14,29.32,3.594746904446411
43,0.014283476999997546,-165.62,174.04,3.914173290816123
44,0.014517748999997693,57.74,31.8,3.5185916154591013
45,0.014582143999996688,62.22,27.5,3.2135200133047563
46,0.014632711999997383,62.08,24.12,3.1552183980308337
47,0.014716465999997652,59.2,24.82,3.2290544309233966
48,0.014771378999997253,57.88,30.18,2.8095304940095542
49,0.014844860999996712,68.74,20.94,2.784093645436922
50,0.014962193999997098,62.5,25.0,2.837318909836727
51,0.015090983999996865,60.82,23.68,3.250923354867556
52,0.015143132999996922,71.1,20.1,3.0460655229517553
53,0.0154113799999962,69.78,21.96,3.154455800882003
54,0.015482096999996031,20.78,29.48,3.282641412472178
55,0.015567429999995497,69.02,21.82,3.376278150357063
56,0.015655528999994672,53.1,22.66,3.77052734616898
57,0.015710836999993205,69.1,21.74,3.6731142553897094
58,0.015804070999992703,69.62,20.68,3.6543123573313325
59,0.0158498979999937,71.06,20.14,3.5045811648619902
60,0.015899279999993965,69.5,21.88,3.342596339485971
61,0.015951822999994647,67.6,21.8,2.863968053852429
62,0.016000019999994564,63.58,21.14,3.4101548788262432
63,0.016076661999994357,67.66,22.82,3.1508352035603204
64,0.016146192999995534,69.6,20.98,3.0613146330787635
65,0.01621137899999603,70.74,20.28,3.099091267776654
66,0.016266292999995713,68.84,22.0,2.9256029035228486
67,0.016324366999995732,63.44,22.84,3.3536795547633673
68,0.016380070999995056,62.1,22.28,3.818838910867997
69,0.016419181999994592,65.08,24.1,4.327826973208029
70,0.016519131999993775,61.18,27.1,4.497540121337086
71,0.016568909999993053,68.54,21.58,4.868992154182139
72,0.016611180999992925,70.62,20.04,4.765566721939942
73,0.016662143999994328,69.44,21.22,4.805955004806405
