iter,time,reward,steps,convergence
1,0.0010449399999998832,-216.9,187.46,93.6540551733287
2,0.0016703229999990299,-200.74,200.0,86.4531641733287
3,0.0024438549999992176,-199.0,200.0,79.97381319639945
4,0.003293238999997783,-202.92,200.0,74.69659913808485
5,0.004196746999998169,-251.22,194.46,68.643050691352
6,0.004480006999997954,-194.38,176.66,66.95920497869326
7,0.004629734999998192,-581.24,192.82,65.75061512767034
8,0.004846229999994733,-250.86,180.56,64.73498457564835
9,0.005094328999994957,-186.16,194.52,61.56141544486237
10,0.005276847999994061,-551.56,190.38,60.310532850461264
11,0.005424205999993603,47.44,27.2,64.69333573751298
12,0.005580650999995385,31.04,61.24,69.69965291686911
13,0.005709441999993459,16.14,46.26,74.49003506802171
14,0.005777391999995274,-99.3,133.3,78.86724912633632
15,0.005958724999995724,54.84,36.18,82.59508849271236
16,0.006080798999995807,41.18,48.76,82.98142898651192
17,0.006145193999998355,40.06,44.08,83.91262269879715
18,0.006249094999997595,66.94,23.54,77.45758450400209
19,0.006482971999997034,53.72,36.76,79.8298419022723
20,0.006717638999997888,54.78,36.24,77.14252181228848
21,0.006968503999999598,-7.64,82.08,74.98571901710639
22,0.007165244999999487,-55.28,87.88,74.30222970311813
23,0.007311418000000458,28.06,56.74,71.37650048807294
24,0.007383713999999486,-67.04,82.44,69.59877554480184
25,0.007487220999998101,59.62,27.02,69.37714085504453
26,0.007551617000000732,28.62,62.76,67.09129602753512
27,0.007868852000001425,-110.9,134.98,64.89556035602227
28,0.007964852000000633,31.78,58.7,64.7158871684456
29,0.008045049999999776,48.06,43.5,63.72590949057009
30,0.008133147999998869,53.02,38.36,65.16303942297485
31,0.008205445000001532,55.72,34.76,59.19742699183642
32,0.008259964000000508,53.02,31.34,52.59474416532034
33,0.00831685300000018,64.8,24.7,54.96696940471232
34,0.008392310000001402,66.82,23.84,48.97657200391856
35,0.008516360000001555,-83.42,139.04,42.973665319350765
36,0.008589052000001374,50.84,29.64,39.10368913805032
37,0.008656213000001856,-17.84,81.74,39.421812046715004
38,0.009100263000004105,-150.06,173.98,44.086125063010215
39,0.009335325000002115,-15.94,93.3,36.90888968814111
40,0.0094451520000014,21.4,69.8,30.544029277732346
41,0.00951073200000252,26.92,55.44,37.79183164406574
42,0.009579078000005126,47.8,43.76,38.216438487894514
43,0.009718535000004636,55.56,34.38,39.019762126172544
44,0.0098520660000041,63.12,27.36,39.099269209248824
45,0.009900659000003031,30.26,59.6,44.759689508222884
46,0.010081993000003564,10.14,75.72,43.38751701353031
47,0.010134537000002553,49.64,40.48,36.509120840399746
48,0.010260957000003401,52.2,39.18,30.776919267119233
49,0.01033167300000315,-101.32,149.8,37.057548995283355
50,0.01056515500000188,-72.82,138.94,44.45096515095995
