iter,time,reward,steps,convergence
1,0.00208711499999481,-714.29,300.0,89.59
2,0.003062918999994224,-726.4,300.0,79.69
3,0.004462624999995057,-554.43,300.0,70.28
4,0.005439613999996595,-573.5,300.0,60.86999999999999
5,0.006426479999994683,-515.6,300.0,51.25999999999999
6,0.011845549999989657,-461.67,300.0,41.64999999999999
7,0.013130687999989732,-462.68,300.0,32.23999999999999
8,0.014110837999986359,-474.88,300.0,22.865363790000004
9,0.015782346999984043,-412.55,300.0,12.969729690000003
10,0.016719433999980993,-321.88,300.0,3.564840022615934
11,0.017659681999980137,-536.31,300.0,3.5518781109259336
12,0.018637065999982383,-378.21,300.0,3.841878110925934
13,0.019671338999977195,-358.56,300.0,3.3518781109259335
14,0.020610796999974923,-388.24,300.0,2.8632595841151285
15,0.02162176099997737,-336.48,300.0,2.5733714834434522
16,0.022653662999978508,-299.0,300.0,2.2834332347416604
17,0.023711244999979897,-299.0,300.0,1.79343323474166
18,0.024679937999977142,-299.0,300.0,1.2680703025794344
19,0.025807050999972603,-299.0,300.0,1.2637073293844536
20,0.026719644999971592,-299.0,300.0,0.7685969967781248
21,0.027586806999970293,-299.0,300.0,0.2915589127810406
