iter,time,reward,steps,convergence
1,0.004912205000000114,-788.16,194.24,91.1
2,0.0064995650000003735,-279.8,196.28,81.49928202924443
3,0.008506482000000481,-245.56,196.34,71.60333715120943
4,0.010958634000000522,-296.66,195.38,62.10023715120942
5,0.012773156000000174,-217.98,196.58,52.203193335121895
6,0.014890691000000178,-189.6,194.04,42.35219333512191
7,0.016291582000000027,-207.4,197.14,32.95013133512191
8,0.01783746099999961,-200.96,200.0,23.12865155471172
9,0.02008536599999955,-199.0,200.0,13.229022952976374
10,0.02185366499999919,-199.0,200.0,3.329040696263661
11,0.024045470999999097,-199.0,200.0,1.3290608811724325
12,0.025155595999998948,-199.0,200.0,1.029782137227589
13,0.0262175229999988,-199.0,200.0,1.0260216655622187
14,0.02795303199999921,-199.0,200.0,0.6291271530855767
15,0.028977033999999513,-199.0,200.0,0.6264010649590247
16,0.030401233999999278,-199.0,200.0,0.577784639627275
17,0.0314070619999991,-199.0,200.0,0.07984784343678797
