iter,time,reward,steps,convergence
1,0.002110027999997044,-216.64,197.56,89.928
2,0.0027847940000000904,-312.24,193.12,82.97837999999999
3,0.0030004980000057913,-221.78,199.64,75.94929915835749
4,0.003979858000008107,-756.56,156.68,66.47703088236725
5,0.005063909000007527,-201.5,200.0,61.28792437701735
6,0.005415515000009918,-287.24,181.1,55.73944296976445
7,0.0059211950000062075,-16.12,96.86,49.30987082664255
8,0.006351022000004036,-296.32,182.96,40.458964765398626
9,0.006471121000004132,-498.64,183.96,31.742427014092225
10,0.006580554000002792,-145.06,164.18,22.813244797296015
11,0.006807320000000061,-266.68,162.22,23.04168436462654
12,0.00689423399999356,61.28,30.82,21.081295454626524
13,0.0075129009999912455,68.08,22.76,19.040237294602974
14,0.007573344999990184,8.78,75.78,19.36882155484312
15,0.007652751999991381,-5.6,84.24,15.065407988076794
16,0.007780751999995061,39.06,47.04,12.096623655150177
17,0.00789255499999797,-32.24,108.52,9.787812891913038
18,0.00801660499999457,-212.34,198.4,10.104605227465743
19,0.008331864999995275,7.72,72.7,10.345179114201006
20,0.008486729999994225,36.96,53.66,10.104382307918893
21,0.008643569999989609,-19.32,89.16,10.005378974586359
22,0.008720211999992955,-26.02,101.74,12.271045193574887
23,0.008843471999995245,42.78,47.08,12.62366178869038
24,0.008987669999996228,-1.5,91.58,13.200660592865706
25,0.009129101999995726,1.22,83.38,13.920905876377338
26,0.009201003999997681,15.52,73.3,13.528162530582694
27,0.00935389399999309,-38.56,108.9,21.26758762652264
28,0.009703918999989014,21.94,69.62,21.046838401821965
29,0.009861153999985106,-83.28,134.32,25.609700518144745
30,0.010028659999989031,-6.82,67.28,26.32771076063375
31,0.010106091999986688,29.9,38.9,26.309524161510534
32,0.010230141999983289,45.72,25.08,23.8605520717938
33,0.010328512999983275,-199.0,200.0,32.312489122774764
34,0.010678143999989231,-75.74,126.32,35.08355519192747
35,0.011040415999993058,2.62,67.1,36.74582998053205
36,0.011247428999993758,-38.24,94.94,38.85809583153447
37,0.011461156999992284,-94.44,140.26,32.42351505235568
38,0.011596663999988266,56.88,35.04,33.1007874144253
39,0.011699774999989643,-86.58,88.98,28.98821872476849
40,0.011907577999991759,-54.6,120.32,29.804368711256085
41,0.012350442999988331,-89.58,138.8,30.316125179255856
42,0.012664912999987621,36.26,45.02,31.28738947533726
43,0.012722986999989416,69.28,21.92,23.19464346399249
44,0.013059184999988815,-20.42,102.24,20.257859703067794
45,0.013116468999989195,55.02,35.46,23.99301710247423
46,0.013202987999989091,69.38,21.82,22.08918183599415
47,0.013298197999986883,13.94,69.42,20.741916915787165
48,0.013504419999989636,70.28,21.46,21.113567069843675
49,0.013570395999991547,60.5,28.5,20.62539945308176
50,0.013722889999989718,18.26,57.38,19.328356389005087
51,0.014018396999986749,-116.52,123.98,19.991896216220518
52,0.014121507999988125,-59.22,123.94,20.19392562046483
53,0.014238840999986735,-172.24,184.12,20.864325040056933
54,0.014477853999991908,51.52,39.32,20.775821165288107
55,0.014870940999990978,21.3,67.26,16.108149153515885
56,0.01495548499999444,42.64,40.64,17.287630876539577
57,0.015057410999993692,67.02,23.64,19.045990713655968
58,0.015177904999994496,12.86,77.22,18.558858772558402
59,0.015238744999990672,45.0,46.02,19.241936676986207
60,0.015326448999992692,53.44,36.68,19.551190116208566
61,0.01542047299999183,54.18,36.3,19.338790436598963
62,0.015495139999991636,65.76,24.54,18.754940847455664
63,0.01557336199999071,48.02,42.46,17.92614930534967
64,0.015803287999993643,26.58,60.94,18.135804898364732
65,0.015905213999992895,44.6,42.76,17.81240550253216
66,0.015964077999989,-82.16,140.78,16.876909731004776
67,0.016186892999989766,-116.0,162.44,15.677632604697413
68,0.016320028999992076,-39.64,110.3,15.33591962901545
69,0.01642195499999133,-12.26,92.56,14.85720398875526
70,0.016493460999996046,40.7,48.72,15.259393405350613
71,0.01662857199999479,-4.46,90.68,14.53605021735037
72,0.01679252299999945,51.74,39.28,15.065645271785916
73,0.01684071999999759,61.34,29.5,15.330046824551872
74,0.01725909099999967,-38.36,115.84,15.537367918457932
75,0.017387880999997662,20.44,67.48,15.397164528015537
76,0.0174427950000009,66.24,25.14,15.270058389740232
77,0.01758264700000467,70.02,20.82,15.04894348274702
78,0.017760424999998747,-157.72,178.6,14.860139408494737
79,0.017952424999997163,-17.84,97.78,14.06683436345016
80,0.01821118999999527,51.96,39.96,14.173776044220029
81,0.01840911599999373,-15.24,95.04,14.880322592962532
82,0.018572671999990575,-20.9,88.72,14.278157107309136
