iter,time,reward,steps,convergence
1,0.008566136999995422,-937.34,300.0,89.59
2,0.009849694999992664,-781.54,300.0,79.69
3,0.011009597999994014,-371.75,300.0,70.28
4,0.012143031999990228,-302.03,300.0,60.40473432744026
5,0.013299379999992311,-300.45,300.0,50.50524788729775
6,0.01438659099999029,-301.81,300.0,40.60560806251542
7,0.015440221999988069,-299.0,300.0,30.70560807005661
8,0.016635284999985345,-299.0,300.0,20.805608070100124
9,0.01766323699998651,-299.0,300.0,10.905608070115301
10,0.01884447299998726,-299.0,300.0,1.0056080701264662
11,0.019806844999990858,-299.0,300.0,0.5156080704030245
12,0.02092763699999267,-299.0,300.0,0.515608070438087
13,0.022002996999994195,-299.0,300.0,0.02560807043896034
