iter,time,reward,steps,convergence
1,0.001303706000044258,-745.17,300.0,94.03950009600001
2,0.0021167439999771887,-659.24,300.0,88.72950009600001
3,0.00295071999994434,-448.0,300.0,83.257500096
4,0.003809980999903928,-358.75,300.0,77.947500096
5,0.004624599999942802,-348.69,300.0,68.5003289375052
6,0.0055028229999152245,-738.23,300.0,66.92359094812173
7,0.006564750999928037,-648.3,299.89,61.52883321169857
8,0.007376998999916395,-308.8,300.0,56.84669308198323
9,0.008181345999901168,-306.48,300.0,50.33440896726123
10,0.00898687799997333,-401.79,300.0,43.181185023550775
11,0.009811769000066306,-374.6,300.0,40.00073128413319
12,0.01066589400011253,-556.55,299.94,40.14353379327306
13,0.011447327000155383,-416.21,300.0,38.89747452120086
14,0.01230737800017323,-639.34,300.0,35.70439484360308
15,0.013180071000192584,-427.02,299.21,42.07565056649379
16,0.0140274790002195,-554.66,300.0,38.90143775973458
17,0.014795085000173458,-307.56,300.0,37.15562549455696
18,0.015791827000157355,-403.7,300.0,34.38238493493642
19,0.01658195200013779,-835.64,300.0,36.39745631759257
20,0.01746175600010247,-627.85,300.0,40.14414445420815
21,0.01831864600001154,-1244.79,300.0,43.747556144826156
22,0.019217413000092165,-345.28,300.0,47.97752554446629
23,0.020137908000037896,-321.91,300.0,49.746987380101636
24,0.021296626000093966,-320.12,300.0,51.45044362488993
25,0.022080825000102777,-408.22,300.0,48.234095726031924
26,0.02290532000006351,-330.72,300.0,45.610069727537315
27,0.02368319800007157,-338.47,300.0,45.664096417204895
28,0.02446107600007963,-309.56,300.0,46.48687556241695
29,0.02524053400009052,-362.78,300.0,43.381876269185724
30,0.026959451000152512,-312.68,300.0,41.661521098809544
31,0.02773140300007526,-790.4,296.73,38.89111725653077
32,0.028558268000097087,-1483.61,300.0,36.899836432183555
33,0.029367355000090356,-947.72,298.95,38.031613862411525
34,0.03004449200000181,-581.98,300.0,42.52951201968165
35,0.030909679000046708,-597.7,300.0,46.48405642214372
36,0.0316879520000839,-329.72,300.0,51.50923754899419
37,0.03254049600002418,-307.11,300.0,52.17103359237302
38,0.03336301599995295,-414.15,300.0,56.879016204496835
39,0.03421911599991745,-360.45,298.63,61.44485300498826
40,0.03496064799992382,-608.66,300.0,65.91089649362853
41,0.035778031999825544,-415.23,300.0,73.09912467276935
42,0.03657250299988846,-338.78,300.0,78.37733237158676
43,0.037468503999889435,-319.2,298.91,79.75320438499185
44,0.03841349399999672,-455.59,300.0,78.33706433273237
45,0.039221791000045414,-342.05,300.0,76.07745436593537
46,0.04008500199995524,-345.91,300.0,72.69432854214119
47,0.040953348999892114,-300.16,300.0,77.48408266721434
48,0.04181102999984887,-301.12,300.0,76.76907295930539
49,0.04261932699978388,-319.22,300.0,76.98179082392289
50,0.043785155999785275,-313.0,300.0,73.83267679516217
51,0.04497271399975489,-322.52,300.0,68.84504483573753
52,0.04574387499974364,-299.49,300.0,65.94231908188178
53,0.0465501979997498,-531.65,299.52,67.12892460007177
54,0.04739879199973984,-304.6,300.0,69.63016704572432
55,0.04818891599973085,-505.65,297.68,69.67008051959861
56,0.0490501519997224,-438.94,270.99,76.04192262765703
57,0.04938318999973035,-393.39,299.05,75.48671713085635
58,0.05018595699971229,-410.39,300.0,78.12786560231334
59,0.05096067399972526,-366.25,300.0,74.32477044719715
60,0.05174368799976037,-304.02,300.0,70.57712595832533
