iter,time,reward,steps,convergence
1,0.001190717999975277,-307.82,300.0,89.41
2,0.002766226999938226,-306.73,300.0,80.02000000000001
3,0.003584005999925921,-328.89,300.0,70.63198
4,0.00437887199996112,-310.81,300.0,61.24336562
5,0.00527566399995294,-571.09,300.0,51.85534562
6,0.006071713999972417,-299.0,300.0,42.467325620000004
7,0.006852751999929296,-339.18,300.0,33.077325619999996
8,0.007866481999940333,-299.0,300.0,23.22215826509452
9,0.009605151999949157,-299.0,300.0,13.831273816792095
10,0.010403177999933177,-312.57,300.0,4.450788335223876
11,0.012237847999926998,-300.96,300.0,4.182689265975742
12,0.013079330999914873,-299.87,300.0,4.206779185975742
13,0.014049998999894342,-299.0,300.0,4.046601933182808
14,0.015033309999921585,-407.33,299.83,4.061082986422974
15,0.016639633999943726,-299.0,300.0,3.8041532166971606
16,0.017449906999956966,-337.71,300.0,3.782803868568739
17,0.01826254999991761,-299.0,300.0,3.6101965712543973
18,0.01920556399988982,-310.5,300.0,4.0987183719891105
19,0.02000911999988375,-299.0,300.0,3.6392995761813736
20,0.020871935999878133,-302.81,300.0,3.6136520025707286
21,0.021841813999856186,-332.53,300.0,4.081515071818863
22,0.02313840899984143,-322.22,300.0,3.6088734700506864
23,0.02404586699981337,-299.98,300.0,3.718883645298031
24,0.024943448999806606,-299.0,300.0,3.671183891245583
25,0.02578532699982361,-299.0,300.0,3.9172926461289803
26,0.02655253799980528,-299.29,300.0,3.9368200142574024
27,0.027367945999799304,-306.79,300.0,3.8987661522461976
28,0.028631355999834796,-299.98,300.0,3.419918284782568
29,0.029697629999873243,-414.53,300.0,3.9122879861608353
30,0.030906125999877077,-411.61,300.0,3.8835544140478704
31,0.03225921499989681,-302.43,300.0,3.6531401756485096
32,0.033212104999847725,-299.0,300.0,4.0800023545462265
33,0.034061883999868314,-299.0,300.0,3.6617313206875863
34,0.03486939199990502,-299.0,300.0,3.262766599508302
35,0.03575986299995293,-316.02,300.0,2.8296601423773966
36,0.03665981499995041,-308.58,300.0,2.426634743776229
37,0.0376597179999294,-306.24,300.0,2.201718537379297
38,0.03865883099990697,-410.61,300.0,2.5591845649380973
39,0.040538932999936605,-357.78,300.0,2.3947231171237306
40,0.04141162499990969,-299.0,300.0,2.3970711883955587
41,0.04337626999989652,-299.96,300.0,2.4723055079328176
42,0.046440373999871554,-315.0,300.0,2.2435604107886222
43,0.04736165999986497,-317.22,300.0,2.646544245001279
44,0.04817193299987821,-313.57,300.0,2.955546439404827
45,0.04897430499983102,-309.15,300.0,3.0092687605520085
46,0.049955639999836876,-301.61,300.0,3.012136139153175
47,0.05084176499980231,-311.02,300.0,2.9694309636791685
48,0.051624778999780574,-516.64,300.0,3.0341985658897643
49,0.05250892799978146,-313.48,300.0,2.69898316012099
50,0.05376680699981762,-314.78,300.0,2.487452562557155
51,0.05475090699980001,-477.89,300.0,2.521286146890951
52,0.055665870999803246,-323.29,300.0,2.6257847275668715
53,0.05648839099978886,-329.79,300.0,2.671386381125152
54,0.057308539999780805,-307.54,300.0,2.3841619887131693
55,0.058181627999772445,-309.95,300.0,2.3350613163933454
56,0.05917165499977273,-317.74,300.0,2.27496362139887
57,0.06000681699975985,-343.04,300.0,2.2942776252706105
58,0.06080721299974812,-318.32,300.0,2.2918098178561417
59,0.061632103999727406,-418.35,300.0,2.731892732233252
60,0.06245936499971094,-328.94,300.0,2.9283098996765538
61,0.06323526799968704,-430.61,299.98,2.863112809161071
62,0.06400287399969784,-303.62,300.0,2.8426954206929693
63,0.06479892499970674,-368.22,300.0,2.6057304944284736
64,0.06562025899972923,-307.37,300.0,2.9755991091774474
65,0.06643092699971476,-318.5,300.0,3.0069505323234127
66,0.06722697799972366,-375.79,300.0,3.4795633182894363
67,0.06801315199976443,-339.45,300.0,3.5324294966495797
68,0.06884041199981539,-362.97,300.0,3.343795218642083
69,0.06948199299978342,-333.32,299.55,3.1801379500088176
70,0.07025473499976442,-402.03,300.0,3.166174140289064
71,0.07113137899978028,-459.3,300.0,3.3431276816337374
72,0.07215419599975803,-301.68,300.0,3.362098288589155
73,0.07293404899974121,-351.12,300.0,3.542490332521278
74,0.07370718599975135,-330.96,299.08,3.2996627962841414
75,0.07453484199976401,-321.13,300.0,3.656516851940405
76,0.07546126399978448,-387.85,299.99,3.6063396862625594
77,0.07689178499981608,-304.0,300.0,3.792498129082071
78,0.0777269469998032,-512.43,300.0,4.107196406568413
79,0.07859568899982605,-334.19,300.0,3.9048953927416066
80,0.07986107299984724,-352.41,300.0,3.7464430436601517
81,0.08086334599988731,-341.13,300.0,3.6284773362274136
82,0.08169850799987444,-388.39,300.0,3.6959002560620333
83,0.08251233699985505,-455.1,300.0,3.3746852057516987
84,0.0833352519998698,-410.47,300.0,3.19356707682917
85,0.08420596899986776,-487.82,300.0,2.8437013125349067
86,0.08507431599986148,-377.03,300.0,2.9559424229649593
87,0.08595767599985038,-362.26,300.0,2.7085191655174357
88,0.08772873999987496,-858.5,300.0,2.6569663183324805
89,0.0885978769998701,-376.0,300.0,2.5902924571526214
90,0.08946108799989361,-312.2,300.0,2.6114496244451173
91,0.09031560799985527,-487.26,300.0,2.430616648650807
92,0.09113299199981384,-396.42,300.0,2.0455237446025074
93,0.09206928999981301,-457.76,300.0,1.9643975538599314
94,0.09289694599982568,-360.17,300.0,2.2259826840504866
95,0.09361635399977786,-308.17,300.0,2.5014889270906844
96,0.09440410799976462,-663.77,300.0,2.405228068716763
97,0.09512588699976732,-466.32,300.0,2.5486330645386297
98,0.09580302299974619,-360.2,298.99,2.1024518385259476
99,0.09661487599976226,-338.39,300.0,2.201571479880058
100,0.09785260599977619,-351.51,300.0,1.9629130558779218
101,0.098559766999756,-355.33,299.94,1.8574202431366118
102,0.0991942369997787,-470.78,300.0,1.9441103690917116
103,0.10002070699977139,-520.38,299.51,2.3827126048942846
104,0.10079976999981,-429.08,300.0,2.5836699870779753
105,0.10167325299983077,-633.51,299.86,2.765033885882512
106,0.10259256299985964,-361.51,300.0,2.848630739082283
107,0.10342416899982254,-376.08,298.74,3.1709480400990473
108,0.10417913299983184,-431.49,300.0,3.5150630391076105
109,0.10492935699983263,-336.45,300.0,3.4557676013689784
110,0.1057372589998522,-324.18,300.0,3.4393334258268724
111,0.10652382799986526,-432.3,300.0,3.8812208340949113
112,0.10739810099988745,-412.43,300.0,3.8011260124366464
113,0.10816531199992596,-343.89,300.0,3.9311100810504507
114,0.1090301029999523,-427.43,300.0,3.9895472018594385
115,0.10980758599998808,-324.75,300.0,3.51978565959703
116,0.11060442699994155,-324.16,300.0,3.108689155324938
117,0.11140640299993265,-340.93,300.0,2.692518565985446
118,0.11230319499992447,-443.1,300.0,2.350827931869572
119,0.11315218399994365,-408.96,300.0,2.4087453245879984
120,0.11397391399998469,-329.91,300.0,2.4550390313560286
121,0.11478221199996597,-323.92,300.0,2.4268177954059014
122,0.11564858399998457,-405.34,300.0,2.8090184366473787
123,0.11655564799997364,-577.88,300.0,2.6525900794162376
124,0.1186297249999484,-392.37,300.0,2.593976871264483
125,0.11944078799996305,-343.57,300.0,2.5580016017396567
126,0.12024355500000183,-343.72,300.0,2.441122205730906
127,0.12112375399999564,-418.79,299.93,2.3900808171764476
128,0.12196049700003186,-342.66,300.0,2.7405332987802447
129,0.1236501790000375,-340.86,300.0,3.1007980961469697
130,0.12445689600002652,-339.69,300.0,3.475602668402149
131,0.12514706899997918,-308.42,300.0,3.1756991613675005
132,0.12596682299999884,-362.07,300.0,2.813791931880355
