iter,time,reward,steps,convergence
1,0.003003264000000172,-632.3,161.68,89.61
2,0.003770080000000675,-214.68,200.0,80.22
3,0.004517933000000696,-177.5,189.86,70.81515257513703
4,0.005376799000000432,-210.44,197.98,60.96055428808793
5,0.006128996999999359,-206.4,199.44,51.14369947170538
6,0.007301541999998662,-199.0,200.0,41.32043916545032
7,0.00801028399999737,-222.82,200.0,31.73043916545032
8,0.00958855799999725,-295.5,193.12,22.22458361820702
9,0.009918434999997672,-424.44,197.84,12.434562721199228
10,0.010373151999997887,-256.82,200.0,2.824936597296026
11,0.010831423999999146,-218.6,200.0,2.376392062954608
12,0.011635375999999198,-221.54,200.0,2.1738799226020573
13,0.012442884000000376,-254.62,176.24,1.788397677355033
14,0.013520219000000111,-296.18,194.08,1.8083172555998488
15,0.014463232999998965,-272.3,198.02,1.957070559075916
16,0.015648419999999774,-310.5,189.34,2.3895998705691097
17,0.01651716199999953,-72.2,134.3,2.1065589373274447
18,0.01834946099999968,-159.5,181.98,1.7643409585569287
19,0.01876348599999922,-193.4,194.42,2.1590975209971717
20,0.019422844999999356,-236.52,199.7,2.3701685662077594
21,0.020791735999999617,-230.94,200.0,2.387964385278805
22,0.02171973699999974,-279.18,198.6,2.130782207370326
23,0.022066205999999866,-277.0,198.64,2.443051981374519
24,0.022194995999999634,-248.4,196.12,2.6871356748082436
25,0.02301474999999975,-131.98,159.7,2.7643081174047155
26,0.023294848999999118,-211.22,196.64,2.2851973377068235
27,0.024062059999998553,-1015.28,190.64,2.6880887425846667
28,0.02435322099999837,-265.1,197.5,2.6785204521957526
29,0.02515914799999841,-202.06,198.9,2.2447082291222644
30,0.02589751999999912,-216.98,200.0,1.8061039660081903
31,0.026643397999999152,-315.04,197.36,1.7626507244688454
32,0.027329225999999096,-279.3,200.0,1.754002136658464
33,0.027690312999999023,-152.48,164.16,1.3670874948053267
34,0.0282351039999984,-191.5,193.36,1.096336085007465
35,0.02846898099999784,-772.78,173.34,0.9007843156281637
36,0.028929228999999168,-211.76,200.0,1.1791052598594405
37,0.029542365999999376,-167.34,183.2,0.8588885713340403
38,0.02960755199999987,-407.76,193.92,0.8550742921957223
39,0.029811798999999084,-190.36,194.56,1.2921377300446153
40,0.030614169999999774,-184.34,176.42,1.3643363588979185
41,0.03120715899999915,-209.18,199.32,1.3716069631231733
42,0.031445777000000064,-294.44,195.28,1.4417821003897857
43,0.0322082469999998,-261.86,176.9,1.8619770446990316
44,0.032366666999999794,-214.66,200.0,1.8567486438742449
45,0.032910272999998824,-245.46,196.12,1.7736235928033621
46,0.03302760699999929,-256.5,159.26,1.9100378011150227
47,0.033152841999999794,-336.22,130.36,1.8303781684050264
48,0.033417533999999804,-121.62,160.54,1.8182639907891158
49,0.03363126300000019,-142.74,159.38,1.4198979780367764
50,0.03389398000000021,-208.8,200.0,1.3244477173572506
51,0.034132596999999265,-238.78,189.64,1.3234238728836032
52,0.0343400049999989,-188.02,184.36,1.3561933001285964
53,0.034709387999999564,-195.88,199.4,0.9435921079074078
54,0.03502859799999847,-287.44,199.6,0.9446884973452014
55,0.03544380899999844,-341.5,180.16,1.421768144066037
56,0.035598672999997305,-797.7,184.34,1.115834313499161
57,0.03598780899999632,-147.8,176.36,1.1219391044715536
58,0.036372204999995716,-35.26,115.42,1.520140713203326
59,0.03681862599999519,-159.88,183.28,1.4401617101080937
60,0.03693477499999531,-131.7,164.52,1.455462793686015
61,0.03703235599999566,-101.34,152.08,1.7974875464508102
62,0.03716786199999511,-127.7,169.74,1.757513850707386
63,0.03726702299999474,-109.9,155.02,1.746082692933848
64,0.037520652999996074,-68.6,132.54,1.7446889456819121
65,0.037753738999997566,-37.98,104.7,1.3833832437842488
66,0.037824454999997315,-72.68,118.06,1.5706014935803552
67,0.03790860299999821,-88.44,141.18,1.5703875456938874
68,0.03816065199999841,-137.82,170.02,1.186043155738877
69,0.03831196099999801,-64.4,122.08,1.2323196845115567
70,0.03842336899999843,-181.88,187.42,1.3215300268748869
71,0.038590479999998095,-47.2,117.92,0.9725211024322362
72,0.03894682599999655,-70.62,123.88,1.0068319181383045
73,0.03903689999999571,-179.96,189.02,1.230210146499975
74,0.03924193699999634,-23.84,92.08,1.2331141055550021
75,0.03932094899999683,-18.28,92.8,1.4818032390915108
76,0.03961922099999704,-5.16,83.82,1.1909703551158999
77,0.03981675199999657,32.32,58.52,1.2649464865378832
78,0.03987996199999699,-2.36,86.92,1.2726699461336395
79,0.03995660399999679,-237.28,187.06,1.3065752482912145
80,0.0405910739999964,-64.16,110.56,1.2722430319750244
81,0.04065230899999683,-113.84,140.2,1.2821836663750303
82,0.040764900999995746,5.14,74.2,1.2530208086670072
83,0.04085655599999605,-133.8,152.58,1.0364876506261098
84,0.04126504999999625,-153.94,174.48,1.0506351344885616
85,0.04134524699999531,-10.6,94.8,0.6929236478958458
86,0.04162416099999611,-63.86,114.32,0.69478111674309
87,0.04173122299999754,-168.16,178.68,0.6152170972306237
88,0.04194969199999754,10.96,75.48,0.6053030692731596
89,0.04243245799999862,-206.68,191.06,0.5429510083795762
90,0.042552161999998006,-59.24,119.06,0.5430532533365906
91,0.042699519999999325,-142.0,171.96,0.5328519903698478
92,0.04278445799999986,-25.04,96.62,0.4555286101396604
